code,testId,testType,spot,red_current,green_current,blue_current,duv,x,y,u,v,Lv,X,Y,Z
"4G-1-12-09-2-A",150522164256,"135 spots",29,23.4,21.528,21.762,-0.0054512443,0.27365455,0.2683227,0.192967117,0.425716579,7717.43652,7870.79,7717.43652,13173.5479
"4G-1-12-09-2-A",150522164256,"135 spots",28,23.4,21.528,21.762,-0.002982855,0.274005651,0.273522139,0.191136,0.429297179,8627.287,8642.537,8627.287,14271.6328
"4G-1-12-09-2-A",150522164256,"135 spots",31,23.4,21.528,21.762,-0.00555268535,0.274242848,0.268932641,0.193172783,0.426222771,7477.1123,7624.75146,7477.1123,12701.0537
"4G-1-12-09-2-A",150522164256,"135 spots",30,23.4,21.528,21.762,-0.004072608,0.273353636,0.270550162,0.191830665,0.42719236,7931.239,8013.42334,7931.239,13370.5625
"4G-1-12-09-2-A",150522164256,"135 spots",43,23.4,21.528,21.762,-0.00366897881,0.27333498,0.271299571,0.191514164,0.427698076,7741.771,7799.85352,7741.771,12994.252
"4G-1-12-09-2-A",150522164256,"135 spots",45,23.4,21.528,21.762,-0.0050953147,0.2734999,0.26879096,0.192656726,0.4260143,8075.122,8216.59,8075.122,13750.6738
"4G-1-12-09-2-A",150522164256,"135 spots",44,23.4,21.528,21.762,-0.003675015,0.2729121,0.270711362,0.191426173,0.4272357,7928.244,7992.69629,7928.244,13365.7646
"4G-1-12-09-2-A",150522164256,"135 spots",39,23.4,21.528,21.762,-0.00560376327,0.274836451,0.269639552,0.193342492,0.4267948,7710.83252,7859.44727,7710.83252,13026.5361
"4G-1-12-09-2-A",150522164256,"135 spots",40,23.4,21.528,21.762,-0.00651531154,0.274801433,0.267864734,0.1940423,0.4255744,7499.71631,7693.93066,7499.71631,12804.5
"4G-1-12-09-2-A",150522164256,"135 spots",41,23.4,21.528,21.762,-0.004041079,0.273464948,0.270762175,0.19183065,0.427353084,7445.869,7520.195,7445.869,12533.6016
"4G-1-12-09-2-A",150522164256,"135 spots",42,23.4,21.528,21.762,-0.00378028536,0.272514969,0.269963533,0.191422179,0.426667452,7668.25732,7740.73,7668.25732,12995.8008
