WaferID,TimeRun,MaxAdcValue,radiometric
"AAF14140666Y-29",2015-07-06T22:05:49.313Z,2294,-1
"AAF14140666Y-29",2015-07-06T22:05:49.313Z,7206,-1
"AAF14140666Y-29",2015-07-06T22:05:49.313Z,3712,-1
"AAF14140666Y-29",2015-07-06T22:05:49.313Z,26912,-1
"AAF14140666Y-29",2015-07-06T22:05:49.313Z,19525,-1
"AAF14140666Y-29",2015-07-06T22:05:49.313Z,5266,-1
"AAF14140666Y-29",2015-07-06T22:05:49.313Z,7763,-1
"AAF14140666Y-29",2015-07-06T22:05:49.313Z,11448,-1
"AAF14140666Y-29",2015-07-06T22:05:49.313Z,18470,-1
"AAF14140666Y-29",2015-07-06T22:05:49.313Z,10254,-1
"AAF14140666Y-29",2015-07-06T22:05:49.313Z,7480,-1
"AAF14140666Y-29",2015-07-06T22:05:49.313Z,14228,-1
"AAF14140666Y-29",2015-07-06T22:05:49.313Z,29965,-1
"AAF14140666Y-29",2015-07-06T22:05:49.313Z,21815,-1
"AAF14140666Y-29",2015-07-06T22:05:49.313Z,16481,-1
"AAF14140666Y-29",2015-07-06T22:05:49.313Z,12331,-1
"AAF14140666Y-29",2015-07-06T22:05:49.313Z,15296,-1
"AAF14140666Y-29",2015-07-06T22:05:49.313Z,21642,-1
"AAF14140666Y-29",2015-07-06T22:05:49.313Z,24299,-1
"AAF14140666Y-29",2015-07-06T22:05:49.313Z,12333,-1
"AAF14140666Y-29",2015-07-06T22:05:49.313Z,8706,-1
"AAF14140666Y-29",2015-07-06T22:05:49.313Z,9301,-1
"AAF14140666Y-29",2015-07-06T22:05:49.313Z,11985,-1
"AAF14140666Y-29",2015-07-06T22:05:49.313Z,8260,-1
"AAF14140666Y-29",2015-07-06T22:05:49.313Z,20839,-1
"AAF14140666Y-29",2015-07-06T22:05:49.313Z,17740,-1
"AAF14140666Y-29",2015-07-06T22:05:49.313Z,24728,-1
"AAF14140666Y-29",2015-07-06T22:05:49.313Z,14968,-1
"AAF14140666Y-29",2015-07-06T22:05:49.313Z,9490,-1
"AAF14140666Y-29",2015-07-06T22:05:49.313Z,9145,-1
"AAF14140666Y-29",2015-07-06T22:05:49.313Z,8015,-1
"AAF14140666Y-29",2015-07-06T22:05:49.313Z,11853,-1
"AAF14140666Y-29",2015-07-06T22:05:49.313Z,13528,-1
